timestamp,measurement,payload
2025-08-08 10:00:00+00:00,CH - N. Chirurgia 1,"{""avg_total_power"": 56022.4, ""max_total_power"": 71984.0, ""min_total_power"": 48560.0, ""phase_imbalance_percent"": 92.75718284114924, ""avg_power_l1"": 24532.0, ""avg_power_l2"": 7210.4, ""avg_power_l3"": 24280.0, ""avg_power_factor"": 0.7184999999999999, ""avg_voltage_l1"": 236.50499999999997, ""avg_voltage_l2"": 236.91500000000002, ""avg_voltage_l3"": 236.455, ""voltage_stability_cv"": 0.16132198281469196, ""peak_events_count"": 1.0, ""avg_neutral_current"": 174.88000000000002, ""max_neutral_current"": 244.8, ""power_trend_percent"": -11.153089742262704, ""avg_reactive_power"": 53466.4, ""reactive_to_active_ratio"": 95.43753927000628, ""load_variability_cv"": 11.14155180200159, ""anomaly_score"": 1.0, ""avg_frequency"": 49.980000000000004, ""frequency_deviation"": 0.01999999999999602}"
2025-08-08 10:15:00+00:00,CH - N. Chirurgia 1,"{""avg_total_power"": 55698.666666666664, ""max_total_power"": 67584.0, ""min_total_power"": 49104.0, ""phase_imbalance_percent"": 70.70905347824007, ""avg_power_l1"": 21308.8, ""avg_power_l2"": 10630.933333333332, ""avg_power_l3"": 23758.933333333334, ""avg_power_factor"": 0.6946666666666665, ""avg_voltage_l1"": 236.54333333333335, ""avg_voltage_l2"": 236.86666666666665, ""avg_voltage_l3"": 236.53999999999996, ""voltage_stability_cv"": 0.10655206378671962, ""peak_events_count"": 1.0, ""avg_neutral_current"": 156.05333333333334, ""max_neutral_current"": 195.2, ""power_trend_percent"": -1.584830117333037, ""avg_reactive_power"": 56978.666666666664, ""reactive_to_active_ratio"": 102.29808014554507, ""load_variability_cv"": 8.140415745460427, ""anomaly_score"": 2.0, ""avg_frequency"": 49.99333333333333, ""frequency_deviation"": 0.006666666666667709}"
2025-08-08 10:30:00+00:00,CH - N. Chirurgia 1,"{""avg_total_power"": 67355.2, ""max_total_power"": 80288.0, ""min_total_power"": 52592.0, ""phase_imbalance_percent"": 87.86611872579994, ""avg_power_l1"": 23630.933333333334, ""avg_power_l2"": 11998.4, ""avg_power_l3"": 31725.866666666665, ""avg_power_factor"": 0.6860000000000002, ""avg_voltage_l1"": 235.90666666666664, ""avg_voltage_l2"": 236.41666666666663, ""avg_voltage_l3"": 236.06666666666666, ""voltage_stability_cv"": 0.2064519396511563, ""peak_events_count"": 0.0, ""avg_neutral_current"": 147.62666666666667, ""max_neutral_current"": 169.6, ""power_trend_percent"": 25.303879082549415, ""avg_reactive_power"": 70397.86666666667, ""reactive_to_active_ratio"": 104.51734486226256, ""load_variability_cv"": 12.69829884767951, ""anomaly_score"": 2.0, ""avg_frequency"": 49.986666666666665, ""frequency_deviation"": 0.013333333333335418}"
2025-08-08 10:45:00+00:00,CH - N. Chirurgia 1,"{""avg_total_power"": 58792.0, ""max_total_power"": 75856.0, ""min_total_power"": 47712.0, ""phase_imbalance_percent"": 74.56252551367534, ""avg_power_l1"": 22978.666666666668, ""avg_power_l2"": 10600.533333333333, ""avg_power_l3"": 25212.8, ""avg_power_factor"": 0.6946666666666667, ""avg_voltage_l1"": 236.59, ""avg_voltage_l2"": 237.06000000000003, ""avg_voltage_l3"": 236.42666666666668, ""voltage_stability_cv"": 0.22964734886557225, ""peak_events_count"": 4.0, ""avg_neutral_current"": 160.26666666666668, ""max_neutral_current"": 177.6, ""power_trend_percent"": 0.2659430122116739, ""avg_reactive_power"": 60050.13333333333, ""reactive_to_active_ratio"": 102.13997369256589, ""load_variability_cv"": 13.941750911158932, ""anomaly_score"": 2.0, ""avg_frequency"": 49.96000000000002, ""frequency_deviation"": 0.03999999999997783}"
2025-08-08 11:00:00+00:00,CH - N. Chirurgia 1,"{""avg_total_power"": 70956.26666666666, ""max_total_power"": 95936.0, ""min_total_power"": 45888.0, ""phase_imbalance_percent"": 90.46473696474072, ""avg_power_l1"": 28080.0, ""avg_power_l2"": 10739.733333333334, ""avg_power_l3"": 32136.533333333333, ""avg_power_factor"": 0.7269999999999999, ""avg_voltage_l1"": 235.95, ""avg_voltage_l2"": 236.62333333333336, ""avg_voltage_l3"": 236.04333333333332, ""voltage_stability_cv"": 0.28216907070589614, ""peak_events_count"": 7.0, ""avg_neutral_current"": 169.22666666666663, ""max_neutral_current"": 209.6, ""power_trend_percent"": 6.1688311688311614, ""avg_reactive_power"": 65970.66666666667, ""reactive_to_active_ratio"": 92.97370023225575, ""load_variability_cv"": 22.137841160532485, ""anomaly_score"": 1.0, ""avg_frequency"": 49.980000000000004, ""frequency_deviation"": 0.01999999999999602}"
2025-08-08 11:15:00+00:00,CH - N. Chirurgia 1,"{""avg_total_power"": 67227.73333333334, ""max_total_power"": 88288.0, ""min_total_power"": 52096.0, ""phase_imbalance_percent"": 71.98933773363375, ""avg_power_l1"": 27819.2, ""avg_power_l2"": 11686.933333333332, ""avg_power_l3"": 27721.6, ""avg_power_factor"": 0.6956666666666668, ""avg_voltage_l1"": 235.90999999999997, ""avg_voltage_l2"": 236.74666666666664, ""avg_voltage_l3"": 236.39333333333332, ""voltage_stability_cv"": 0.2080608809340011, ""peak_events_count"": 5.0, ""avg_neutral_current"": 194.02666666666667, ""max_neutral_current"": 241.6, ""power_trend_percent"": -18.35555933067187, ""avg_reactive_power"": 67920.53333333334, ""reactive_to_active_ratio"": 101.03052708406055, ""load_variability_cv"": 15.113501276483218, ""anomaly_score"": 2.0, ""avg_frequency"": 50.0, ""frequency_deviation"": 0.0}"
2025-08-08 11:30:00+00:00,CH - N. Chirurgia 1,"{""avg_total_power"": 57829.86666666667, ""max_total_power"": 66864.0, ""min_total_power"": 47840.0, ""phase_imbalance_percent"": 77.8946980107165, ""avg_power_l1"": 23270.933333333334, ""avg_power_l2"": 9771.733333333334, ""avg_power_l3"": 24787.2, ""avg_power_factor"": 0.6723333333333333, ""avg_voltage_l1"": 235.95333333333335, ""avg_voltage_l2"": 236.58666666666667, ""avg_voltage_l3"": 236.22333333333333, ""voltage_stability_cv"": 0.17817799294168665, ""peak_events_count"": 0.0, ""avg_neutral_current"": 170.9866666666667, ""max_neutral_current"": 204.8, ""power_trend_percent"": -1.6070362126065547, ""avg_reactive_power"": 62600.0, ""reactive_to_active_ratio"": 108.24856360265976, ""load_variability_cv"": 9.320200937315484, ""anomaly_score"": 2.0, ""avg_frequency"": 49.99333333333333, ""frequency_deviation"": 0.006666666666667709}"
2025-08-08 11:45:00+00:00,CH - N. Chirurgia 1,"{""avg_total_power"": 61161.066666666666, ""max_total_power"": 72064.0, ""min_total_power"": 54464.0, ""phase_imbalance_percent"": 77.36424915196596, ""avg_power_l1"": 25424.0, ""avg_power_l2"": 9982.4, ""avg_power_l3"": 25754.666666666668, ""avg_power_factor"": 0.7013333333333331, ""avg_voltage_l1"": 236.70666666666665, ""avg_voltage_l2"": 237.32333333333338, ""avg_voltage_l3"": 236.99000000000004, ""voltage_stability_cv"": 0.1578454730948472, ""peak_events_count"": 0.0, ""avg_neutral_current"": 177.97333333333333, ""max_neutral_current"": 224.0, ""power_trend_percent"": -10.825706628912378, ""avg_reactive_power"": 61534.933333333334, ""reactive_to_active_ratio"": 100.61128212283195, ""load_variability_cv"": 6.481992901550185, ""anomaly_score"": 1.0, ""avg_frequency"": 50.0, ""frequency_deviation"": 0.0}"
2025-08-08 12:00:00+00:00,CH - N. Chirurgia 1,"{""avg_total_power"": 56955.73333333333, ""max_total_power"": 71184.0, ""min_total_power"": 48208.0, ""phase_imbalance_percent"": 81.24484980148327, ""avg_power_l1"": 23448.0, ""avg_power_l2"": 9041.6, ""avg_power_l3"": 24466.133333333335, ""avg_power_factor"": 0.7133333333333334, ""avg_voltage_l1"": 237.02000000000007, ""avg_voltage_l2"": 237.48999999999995, ""avg_voltage_l3"": 236.97999999999996, ""voltage_stability_cv"": 0.158900739963082, ""peak_events_count"": 1.0, ""avg_neutral_current"": 161.65333333333334, ""max_neutral_current"": 198.4, ""power_trend_percent"": 3.302825308396347, ""avg_reactive_power"": 55233.066666666666, ""reactive_to_active_ratio"": 96.97542887107649, ""load_variability_cv"": 10.523581112798395, ""anomaly_score"": 1.0, ""avg_frequency"": 49.989999999999995, ""frequency_deviation"": 0.010000000000005116}"
2025-08-08 12:15:00+00:00,CH - N. Chirurgia 1,"{""avg_total_power"": 59707.2, ""max_total_power"": 74928.0, ""min_total_power"": 48784.0, ""phase_imbalance_percent"": 91.0121392394887, ""avg_power_l1"": 24121.6, ""avg_power_l2"": 8736.0, ""avg_power_l3"": 26849.6, ""avg_power_factor"": 0.664, ""avg_voltage_l1"": 236.64000000000004, ""avg_voltage_l2"": 237.22, ""avg_voltage_l3"": 236.8433333333333, ""voltage_stability_cv"": 0.23397629129013028, ""peak_events_count"": 2.0, ""avg_neutral_current"": 172.48000000000002, ""max_neutral_current"": 208.0, ""power_trend_percent"": 27.500456010214624, ""avg_reactive_power"": 66013.86666666667, ""reactive_to_active_ratio"": 110.56265687666927, ""load_variability_cv"": 12.457568488290581, ""anomaly_score"": 2.0, ""avg_frequency"": 49.99, ""frequency_deviation"": 0.00999999999999801}"
2025-08-08 12:30:00+00:00,CH - N. Chirurgia 1,"{""avg_total_power"": 57212.8, ""max_total_power"": 71952.0, ""min_total_power"": 46656.0, ""phase_imbalance_percent"": 83.76027742043736, ""avg_power_l1"": 22688.533333333333, ""avg_power_l2"": 9275.2, ""avg_power_l3"": 25249.066666666666, ""avg_power_factor"": 0.671666666666667, ""avg_voltage_l1"": 236.83, ""avg_voltage_l2"": 237.42999999999995, ""avg_voltage_l3"": 236.99333333333334, ""voltage_stability_cv"": 0.22702814848062589, ""peak_events_count"": 4.0, ""avg_neutral_current"": 164.0, ""max_neutral_current"": 195.2, ""power_trend_percent"": -15.343593581887067, ""avg_reactive_power"": 62033.6, ""reactive_to_active_ratio"": 108.42608647016053, ""load_variability_cv"": 14.253061388328867, ""anomaly_score"": 2.0, ""avg_frequency"": 50.0, ""frequency_deviation"": 0.0}"
2025-08-08 12:45:00+00:00,CH - N. Chirurgia 1,"{""avg_total_power"": 61505.6, ""max_total_power"": 76496.0, ""min_total_power"": 49056.0, ""phase_imbalance_percent"": 64.57948544522775, ""avg_power_l1"": 22791.466666666667, ""avg_power_l2"": 12737.066666666668, ""avg_power_l3"": 25977.066666666666, ""avg_power_factor"": 0.6643333333333334, ""avg_voltage_l1"": 236.8466666666667, ""avg_voltage_l2"": 237.41666666666666, ""avg_voltage_l3"": 237.00666666666666, ""voltage_stability_cv"": 0.2539060516921327, ""peak_events_count"": 3.0, ""avg_neutral_current"": 165.28000000000003, ""max_neutral_current"": 196.8, ""power_trend_percent"": -5.620646833324329, ""avg_reactive_power"": 68138.66666666667, ""reactive_to_active_ratio"": 110.78449225219602, ""load_variability_cv"": 13.962137617517826, ""anomaly_score"": 2.0, ""avg_frequency"": 49.99666666666667, ""frequency_deviation"": 0.0033333333333303017}"
2025-08-08 13:00:00+00:00,CH - N. Chirurgia 1,"{""avg_total_power"": 53023.46666666667, ""max_total_power"": 70960.0, ""min_total_power"": 45056.0, ""phase_imbalance_percent"": 77.60186684637745, ""avg_power_l1"": 22853.333333333332, ""avg_power_l2"": 9137.6, ""avg_power_l3"": 21032.533333333333, ""avg_power_factor"": 0.6946666666666669, ""avg_voltage_l1"": 237.47666666666666, ""avg_voltage_l2"": 238.15333333333334, ""avg_voltage_l3"": 237.53000000000006, ""voltage_stability_cv"": 0.2196071797451858, ""peak_events_count"": 1.0, ""avg_neutral_current"": 172.10666666666668, ""max_neutral_current"": 212.8, ""power_trend_percent"": -8.118925100057176, ""avg_reactive_power"": 54501.86666666667, ""reactive_to_active_ratio"": 102.78819943873907, ""load_variability_cv"": 10.154578681849644, ""anomaly_score"": 2.0, ""avg_frequency"": 49.99333333333333, ""frequency_deviation"": 0.006666666666667709}"
